Supplementary table 2_5: Pearson correlation results of N-scRNA																																																										
Overall				Human-specific																	Common																						Chimpanzee-specific															
Hspecific	Common	Cspecific		cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs	stem cells		ventral progenitors and neurons			cortical neurons				GM/S dorsal progenitors/radial glia				mesenchymal-like cells				midbrain/hindbrain	neuroectodermal-like cells	NSC/radial glia	NSCs	stem cells	ventral progenitors and neurons					cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs		stem cells		ventral progenitors and neurons
n = 789	n = 214	n = 268		n = 11		n = 781		n = 9		n = 0	n = 2		n = 11		n = 0	n = 20		n = 62			n = 71				n = 78				n = 13				 n = 0	 n = 0	 n = 1	 n = 0	 n = 0	n = 3					n = 138		n = 30		n = 111		n = 1	n = 12		n = 11		n = 13		n = 47		n = 1
BCL11A	FEZF2	DRAXIN		pos	neg	pos	neg	pos	neg		pos	neg	pos	neg		pos	neg	pos	neg		human		chimp		human		chimp		human		chimp				pos in both species			human		chimp			pos	neg	pos	neg	pos	neg	pos	pos	neg	pos	neg	pos	neg	pos	neg	pos
MAP4K4	DLX6-AS1	SOBP				MAP4K4	NCSTN											MT-ND5				RPLP2		RPLP2	FGD3		FGD3																ANK2				GPM6B	FBLN1								ZNF433		
SH3RF3	DLX6	NKAIN2				SH3RF3	CREG1															RPL27A		RPL27A	LMO1		LMO1																TRIM2				SMS	COL6A1								PINLYP		
CKAP2L	DLX5	THSD7A				CKAP2L	RAB29															RPS13		RPS13	PPP1R14B		PPP1R14B																GPM6A				TMEM47	LHFPL6								QPCTL		
SPC25	LRRN3	NEUROD6				FIGN	RRP15															FAU		FAU	GAD2		GAD2																BDP1				TMSB15A									AP000350.5		
GAD1	TMSB4X	ADCY1				SPC25	RAB3GAP2															RPS3		RPS3	SHTN1		SHTN1																MAP1B				PLP1									MIS18A-AS1		
DYNC1I2	TMSB15A	GNAI1				GAD1	DNAH14															RPS25		RPS25	VAX1		VAX1																SSBP2				L1CAM									AL031280.1		
HAT1	PAK3	CACNA2D1				DYNC1I2	SH3YL1															RPS24		RPS24	RAB3IP		RAB3IP																MEF2C				GFRA2									LINC01961		
OLA1	DCX	AKAP9				HAT1	ID2															RPL41		RPL41	ASCL1		ASCL1																DPYSL3				FZD3									AC114939.1		
KIAA1715	STMN2	APOO				OLA1	HPCAL1															RPL6		RPL6	SMOC1		SMOC1																DST				XKR4									AL138781.1		
HNRNPA3	PTPRD	PCSK1N				KIAA1715	PDIA6															RPLP0		RPLP0	TOX3		TOX3																POU3F2				DKK3									PRDM7		
KLF7	NFIB	L1CAM				HNRNPA3	TRIB2															RPL21		RPL21	RASD1		RASD1																SOBP				PRSS23									AC016876.3		
RPL37A	FGD3	LPL				KLF7	RDH14															TPT1		TPT1	ST8SIA5		ST8SIA5																NKAIN2				RAB38									AC139530.1		
NCL	RPLP2	BHLHE22				RPL37A	HADHB															RPS29		RPS29	MYT1		MYT1																THSD7A				CRYAB									AL136531.1		
PTMA	LMO1	LY6H				NCL	LTBP1															RPL4		RPL4	SHD		SHD																NEUROD6				HSPB2											
HJURP	FTH1	SMARCA2				PTMA	RP11-490M8.1															RPLP1		RPLP1	DLL3		DLL3																ADCY1				CADM1											
ARL4C	PPP1R14B	RFX3				HJURP	FEZ2															RPS17		RPS17	LGALS1		LGALS1																GNAI1				TSPAN15											
CHL1	CADM1	GNAQ				ARL4C	DYNC2LI1															RPS2		RPS2																			CACNA2D1				GFRA1											
LSM3	GAD2	GABBR2				CHL1	PEX13															RPS15A		RPS15A																			AKAP9				CD9											
RFTN1	SHTN1	SPTAN1				LSM3	OTX1															RPL13		RPL13																			LRRN3				PEBP1											
SGOL1	VAX1	LDHA				RFTN1	WDR54															RPL26		RPL26																			APOO				MMP17											
TOP2B	RAB3IP	MAP6				SGOL1	TCF7L1															RPL23A		RPL23A																			PCSK1N				CRYL1											
PBRM1	ASCL1	ELMOD1				TOP2B	TMEM131															RPL23		RPL23																			L1CAM				GNG2											
MAGI1	SMOC1	SLN				PBRM1	UNC50															RPL19		RPL19																			LPL				ITPK1											
ROBO2	TOX3	NCAM1				MAGI1	CHST10															RPL27		RPL27																			BHLHE22				HSP90AA1											
EPHA3	RASD1	CLMP				ROBO2	RPL31															RPS21		RPS21																			STMN2				KIF26A											
COX17	RPL23A	ANK3				EPHA3	IMP4															RPS15		RPS15																			SYBU				METRN											
H1FX	ST8SIA5	GRIN2B				COX17	LYPD1															RPL36		RPL36																			LY6H				PMP22											
RBP1	MYT1	PTPRO				H1FX	NCKAP5															RPL18A		RPL18A																			SMARCA2				CNP											
TFDP2	SHD	KIF21A				RBP1	RPRM															UBA52		UBA52																			RFX3				ST8SIA5											
SMC4	DLL3	MGAT4C				TFDP2	NFE2L2															RPS16		RPS16																			PTPRD				CDH19											
TRA2B	RPS11	NBEA				SMC4	PDE1A															RPS19		RPS19																			NFIB				PRNP											
AFAP1	LGALS1	RTN1				TRA2B	FAM171B															RPL18		RPL18																			GNAQ				NFATC2											
NCAPG	FBLN1	FLRT2				CRMP1	HSPD1															RPL13A		RPL13A																			GABBR2				PHACTR3											
NMU	MARCKSL1	CALM1				AFAP1	SPATS2L															RPS11		RPS11																			SPTAN1				COL20A1											
SEPT11	FOXD3-AS1	GABPB1-AS1				NCAPG	FZD7															RPS5		RPS5																			LDHA				LGI4											
HNRNPDL	RXRG	CALB2				NMU	PARD3B															RPL3		RPL3																			TMEM132A				FXYD1											
