,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
WEE12,0,0.555554452100163,0.5,0.18,0,7,WEE1
NAP1L12,0,0.555231190568867,0.998,0.961,0,7,NAP1L1
POC1A,0,0.549783119443469,0.439,0.093,0,7,POC1A
CEP135,0,0.547430332396021,0.457,0.126,0,7,CEP135
ASF1B,0,0.544766043281518,0.421,0.097,0,7,ASF1B
ARL6IP61,0,0.543261927712262,0.655,0.353,0,7,ARL6IP6
MYBL21,0,0.542681729258312,0.419,0.148,0,7,MYBL2
ARHGAP11B,0,0.540609167156814,0.331,0.037,0,7,ARHGAP11B
CNTLN1,0,0.538852843846021,0.536,0.2,0,7,CNTLN
SRI2,0,0.538059641674136,0.905,0.699,0,7,SRI
DCTN33,0,0.537300427331681,0.898,0.671,0,7,DCTN3
HSD17B11,0,0.53703576494435,0.353,0.125,0,7,HSD17B11
DNAJC91,0,0.535218893820962,0.654,0.374,0,7,DNAJC9
VRK1,0,0.533903491434516,0.635,0.316,0,7,VRK1
TMSB15A2,0,0.53123604304743,0.963,0.794,0,7,TMSB15A
BAZ1A1,0,0.530813782050112,0.693,0.371,0,7,BAZ1A
HNRNPR,0,0.530568230807356,0.963,0.841,0,7,HNRNPR
SRSF31,0,0.5296470018061,0.992,0.919,0,7,SRSF3
SAP30,0,0.529005165030551,0.497,0.186,0,7,SAP30
PHF19,0,0.526315614668631,0.394,0.067,0,7,PHF19
HNRNPH3,0,0.523195767046716,0.963,0.827,0,7,HNRNPH3
CDKN1B,0,0.52132951182897,0.641,0.335,0,7,CDKN1B
UBALD2,0,0.519719996462138,0.45,0.171,0,7,UBALD2
CCDC1671,0,0.517138692403638,0.8,0.519,0,7,CCDC167
CHD71,0,0.516179956241816,0.751,0.432,0,7,CHD7
RUVBL2,0,0.515279091030205,0.649,0.379,0,7,RUVBL2
PXMP21,0,0.513865597719407,0.56,0.261,0,7,PXMP2
DLL1,0,0.513859005219292,0.406,0.123,0,7,DLL1
PSIP12,0,0.513584014710796,0.979,0.853,0,7,PSIP1
EXOSC81,0,0.513575162925281,0.77,0.459,0,7,EXOSC8
HMGN51,0,0.512478549494455,0.495,0.215,0,7,HMGN5
RANGAP1,0,0.510420005112274,0.428,0.145,0,7,RANGAP1
SAE12,0,0.50911441932992,0.77,0.489,0,7,SAE1
TMEM106C1,0,0.50726977319052,0.622,0.333,0,7,TMEM106C
HIRIP3,0,0.505521908125238,0.527,0.243,0,7,HIRIP3
QKI2,0,0.501061699029226,0.679,0.376,0,7,QKI
CDCA42,0,0.49869245958932,0.503,0.195,0,7,CDCA4
RHOBTB32,0,0.495537133096861,0.767,0.457,0,7,RHOBTB3
C21orf58,0,0.489129758894083,0.341,0.064,0,7,C21orf58
HNRNPA01,0,0.485857186422687,0.986,0.918,0,7,HNRNPA0
ECI11,0,0.481147216621067,0.507,0.227,0,7,ECI1
DLEU2,0,0.478267789620734,0.358,0.077,0,7,DLEU2
HIST1H1C,0,0.477257503933042,0.354,0.141,0,7,HIST1H1C
ERH,0,0.472253576703372,0.987,0.917,0,7,ERH
CDT12,0,0.469489888683246,0.42,0.163,0,7,CDT1
EMP32,0,0.468063981888772,0.442,0.184,0,7,EMP3
FUS,0,0.467026233665783,0.979,0.892,0,7,FUS
SPDL1,0,0.465323461952512,0.429,0.154,0,7,SPDL1
HNRNPDL1,0,0.464395028976939,0.991,0.951,0,7,HNRNPDL
SAC3D1,0,0.462929357520465,0.597,0.321,0,7,SAC3D1
ODF2,0,0.461222549212254,0.426,0.136,0,7,ODF2
ATAD5,0,0.456609872399804,0.483,0.201,0,7,ATAD5
NUP371,0,0.456136862096972,0.488,0.216,0,7,NUP37
WDR34,0,0.451176935572992,0.503,0.236,0,7,WDR34
TK12,0,0.449928813912541,0.438,0.162,0,7,TK1
DIAPH3,0,0.446709912518605,0.367,0.093,0,7,DIAPH3
MIS18A2,0,0.446416820938925,0.576,0.262,0,7,MIS18A
CCNF,0,0.445977846066898,0.337,0.07,0,7,CCNF
CENPJ,0,0.445779604784381,0.413,0.127,0,7,CENPJ
SHCBP1,0,0.438020735008753,0.33,0.042,0,7,SHCBP1
NKAIN31,0,0.436113372155804,0.508,0.225,0,7,NKAIN3
SKA1,0,0.432189433197846,0.341,0.062,0,7,SKA1
TOX3,0,0.431214452285598,0.542,0.261,0,7,TOX3
LMNB21,0,0.429738647959374,0.437,0.167,0,7,LMNB2
LRR11,0,0.427783412202297,0.453,0.165,0,7,LRR1
SPA17,0,0.427292240063789,0.313,0.065,0,7,SPA17
APOLD1,0,0.426928789202648,0.271,0.018,0,7,APOLD1
UHRF1,0,0.425693464359407,0.377,0.126,0,7,UHRF1
INCENP,0,0.422469569150036,0.315,0.043,0,7,INCENP
KIAA0586,0,0.422087176227645,0.399,0.127,0,7,KIAA0586
RCC11,0,0.416722900186056,0.445,0.171,0,7,RCC1
WHSC1,0,0.412082355762222,0.425,0.179,0,7,WHSC1
SOX211,0,0.411836612857074,0.356,0.107,0,7,SOX21
CEP57L1,0,0.405853539465928,0.427,0.143,0,7,CEP57L1
GKAP1,0,0.403708926550292,0.476,0.202,0,7,GKAP1
CREB51,0,0.398520254516563,0.528,0.229,0,7,CREB5
ARHGEF39,0,0.394622041733081,0.283,0.042,0,7,ARHGEF39
CEP152,0,0.393976766159887,0.308,0.057,0,7,CEP152
JAM22,0,0.393893679252248,0.485,0.183,0,7,JAM2
FANCI1,0,0.391924912732237,0.358,0.113,0,7,FANCI
CIT,0,0.389791158399321,0.301,0.05,0,7,CIT
MMS22L,0,0.388158887282247,0.359,0.123,0,7,MMS22L
CXCR42,0,0.386540819646193,0.533,0.205,0,7,CXCR4
SCLT1,0,0.3846093236622,0.351,0.105,0,7,SCLT1
MGME1,0,0.384149449517886,0.429,0.19,0,7,MGME1
ITGB3BP,0,0.382083823154934,0.452,0.207,0,7,ITGB3BP
IKBIP,0,0.380634053152177,0.386,0.135,0,7,IKBIP
NCAPG2,0,0.380572820346186,0.33,0.084,0,7,NCAPG2
HNRNPA12,0,0.379602263299766,1,0.994,0,7,HNRNPA1
TNFAIP8L1,0,0.372855932468801,0.255,0.053,0,7,TNFAIP8L1
TRIP131,0,0.371967242099886,0.354,0.105,0,7,TRIP13
BRCA2,0,0.368822734740138,0.321,0.098,0,7,BRCA2
SRGAP2B,0,0.360575163841531,0.345,0.115,0,7,SRGAP2B
HAUS8,0,0.360178672736499,0.331,0.091,0,7,HAUS8
NRM,0,0.355271070236747,0.409,0.162,0,7,NRM
BRCA1,0,0.354600527631416,0.313,0.099,0,7,BRCA1
TRIM59,0,0.351215982169671,0.256,0.071,0,7,TRIM59
CHRDL11,0,0.351153345911186,0.377,0.147,0,7,CHRDL1
KIF18B,0,0.351089913475232,0.261,0.031,0,7,KIF18B
GLI31,0,0.349963324064445,0.405,0.165,0,7,GLI3
ANLN,0,0.3497158311825,0.292,0.063,0,7,ANLN
SMTN,0,0.341960027617562,0.29,0.073,0,7,SMTN
TP53I131,0,0.33834972199949,0.378,0.138,0,7,TP53I13
NCAPD3,0,0.337171911606118,0.328,0.109,0,7,NCAPD3
MPHOSPH9,0,0.332657926297496,0.347,0.115,0,7,MPHOSPH9
PKMYT1,0,0.331134677149705,0.263,0.067,0,7,PKMYT1
PDLIM31,0,0.328887234207387,0.352,0.114,0,7,PDLIM3
FANCD21,0,0.316403226802404,0.331,0.123,0,7,FANCD2
FAM110A,0,0.314952558448016,0.311,0.101,0,7,FAM110A
NEDD1,0,0.313565975278216,0.337,0.118,0,7,NEDD1
CENPQ,0,0.312778423857331,0.323,0.106,0,7,CENPQ
MASTL,0,0.312432883028384,0.279,0.077,0,7,MASTL
CENPL,0,0.310593251449952,0.278,0.079,0,7,CENPL
CDK2,0,0.305213202345787,0.289,0.098,0,7,CDK2
SRGAP2C,0,0.301845490960534,0.318,0.111,0,7,SRGAP2C
NOTCH11,0,0.294890732193686,0.314,0.1,0,7,NOTCH1
CHEK2,0,0.294494131454969,0.314,0.115,0,7,CHEK2
PLK4,0,0.292695868049672,0.263,0.061,0,7,PLK4
SFR1,0,0.290677143382179,0.331,0.121,0,7,SFR1
CLGN,0,0.280611600778247,0.29,0.095,0,7,CLGN
H3F3A2,1.00917932734962e-307,0.343093945657827,0.999,0.996,4.51466463883127e-303,7,H3F3A
SEPT101,1.23751115752281e-306,0.388122990938424,0.447,0.205,5.53612991429406e-302,7,SEPT10
CEP131,2.93753121319696e-306,0.256332715350302,0.291,0.099,1.31413396353579e-301,7,CEP131
HEY11,1.92101124760714e-305,0.564413531343509,0.53,0.257,8.59383591729531e-301,7,HEY1
GGH,1.48527052640635e-304,0.443367279789089,0.684,0.398,6.64450622693143e-300,7,GGH
SALL1,2.10456797457306e-303,0.278036243687968,0.285,0.098,9.41499529105002e-299,7,SALL1
PTMS3,1.69318284889108e-302,0.589263344251868,0.989,0.95,7.57462279279912e-298,7,PTMS
ODC12,3.48864962005637e-302,0.538932680441576,0.934,0.761,1.56068229402842e-297,7,ODC1
PLIN32,2.278308763817e-301,0.457865932310338,0.433,0.201,1.01922420858117e-296,7,PLIN3
BRD8,4.69993468766464e-301,0.43141219013106,0.512,0.253,2.10256278187365e-296,7,BRD8
YBX1,5.72977513310678e-301,0.331098977849098,0.999,0.997,2.56327220354665e-296,7,YBX1
GAS1,7.3810323618107e-301,0.320986702395344,0.308,0.11,3.30197863737963e-296,7,GAS1
CLIC13,7.0954181356785e-300,0.470577257886489,0.82,0.49,3.17420625717713e-295,7,CLIC1
POU3F22,5.76686941780182e-297,0.419606221463722,0.493,0.22,2.57986670274782e-292,7,POU3F2
RPA32,4.59075094563358e-296,0.464657959643952,0.736,0.43,2.05371834303864e-291,7,RPA3
HAT11,1.33646197812307e-294,0.530499272564646,0.595,0.331,5.97879630533135e-290,7,HAT1
METTL10,5.99887274979434e-294,0.366154150205976,0.334,0.133,2.683655713348e-289,7,METTL10
FANCG,1.46073869674971e-293,0.267788735798391,0.293,0.106,6.53476063377949e-289,7,FANCG
BANF1,6.99660458960808e-293,0.438294591330519,0.954,0.834,3.13000102920707e-288,7,BANF1
C1orf612,9.78898864615851e-292,0.417243528922955,0.902,0.605,4.37920196074547e-287,7,C1orf61
HES12,1.44559244242518e-289,0.765538907927357,0.641,0.375,6.46700235043327e-285,7,HES1
CEP44,2.57658706365307e-287,0.266613312904406,0.297,0.107,1.15266198879584e-282,7,CEP44
LCORL,7.07473514658345e-287,0.347064027447341,0.474,0.221,3.16495351517557e-282,7,LCORL
MCM101,7.91859097935462e-287,0.343337280934819,0.288,0.106,3.54246086052408e-282,7,MCM10
RFC31,8.90200672181785e-287,0.361777230715768,0.423,0.193,3.98240172707243e-282,7,RFC3
PPP2R5C,2.05282405257339e-286,0.462442094402637,0.592,0.334,9.1835136815923e-282,7,PPP2R5C
RAD51,7.95691442784122e-285,0.283157992477788,0.252,0.085,3.55960523843905e-280,7,RAD51
ACTL6A1,1.04176230366964e-283,0.391968252024399,0.589,0.314,4.66042784169649e-279,7,ACTL6A
RFX42,3.01863532153303e-283,0.271314428799155,0.328,0.12,1.35041669744102e-278,7,RFX4
NCAPH2,3.04479590994895e-282,0.349242260273606,0.402,0.179,1.36211989827476e-277,7,NCAPH2
AAMDC1,9.38706261087021e-281,0.428775812062357,0.47,0.23,4.1993963295989e-276,7,AAMDC
COX8A,1.63863182327445e-280,0.448242278750838,0.956,0.873,7.33058332460058e-276,7,COX8A
SEPT72,2.45010898994684e-279,0.416111561983817,0.98,0.903,1.09608075774262e-274,7,SEPT7
C12orf751,2.97806277695498e-278,0.415816193015584,0.623,0.348,1.33226616389858e-273,7,C12orf75
FZR1,7.37675187559471e-274,0.318292065445166,0.352,0.144,3.30006371906605e-269,7,FZR1
NES2,7.55848707277543e-274,0.513918191493899,0.639,0.364,3.38136477687682e-269,7,NES
FAM122B,2.70321928035361e-273,0.278049635462181,0.274,0.099,1.20931217725899e-268,7,FAM122B
SRSF21,2.28859913643722e-272,0.475963530276306,0.955,0.809,1.02382770967655e-267,7,SRSF2
